Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
1,Active,15,0,6,3,6,0.0%,0,0.00,96.0%,66.0%,62.0%,64.0%,58.0%,54.0%,58.0%,60.0%,52.0%,58.0%,52.0%
2,Eliminated,15,0,8,2,8,48.0%,50,14.32,96.0%,72.0%,66.0%,76.0%,52.0%,58.0%,58.0%,62.0%,56.0%,54.0%,48.0%
3,Eliminated,10,0,8,2,6,51.0%,49,13.51,96.0%,54.0%,58.0%,60.0%,62.0%,56.0%,60.0%,58.0%,54.0%,51.0%,-
4,Eliminated,15,0,10,2,8,47.1%,51,12.29,100.0%,70.0%,56.0%,58.0%,58.0%,60.0%,66.0%,56.0%,54.0%,47.1%,-
5,Eliminated,20,0,6,1,6,40.0%,50,14.76,90.0%,52.0%,54.0%,60.0%,64.0%,52.0%,64.0%,54.0%,55.1%,40.0%,-
6,Eliminated,15,0,10,3,8,52.0%,50,10.68,100.0%,80.0%,62.0%,60.0%,54.0%,70.0%,54.0%,52.0%,52.0%,-,-
7,Eliminated,10,0,10,2,6,50.0%,50,10.58,90.0%,68.0%,54.0%,52.0%,66.0%,52.0%,50.0%,58.0%,50.0%,-,-
8,Eliminated,15,0,6,2,8,45.1%,51,11.51,96.0%,56.0%,68.0%,66.0%,52.0%,64.0%,54.0%,52.0%,45.1%,-,-
9,Eliminated,20,0,8,3,6,44.0%,50,12.72,98.0%,64.0%,62.0%,54.0%,56.0%,58.8%,54.0%,62.0%,44.0%,-,-
10,Eliminated,10,0,8,2,8,38.0%,50,10.94,96.0%,54.0%,50.0%,56.0%,52.0%,68.0%,62.0%,60.0%,38.0%,-,-
11,Eliminated,10,0,8,3,6,48.0%,50,9.32,96.0%,76.0%,58.0%,62.0%,52.0%,64.0%,54.0%,48.0%,-,-,-
12,Eliminated,20,0,8,2,6,48.0%,50,10.80,94.0%,66.0%,52.0%,60.0%,62.0%,62.0%,64.0%,48.0%,-,-,-
13,Eliminated,0,0,8,3,6,46.0%,50,6.44,98.0%,76.0%,56.0%,64.0%,54.0%,60.0%,62.0%,46.0%,-,-,-
14,Eliminated,10,0,10,3,6,44.0%,50,9.42,98.0%,74.0%,68.0%,64.0%,52.0%,62.0%,54.0%,44.0%,-,-,-
15,Eliminated,20,0,6,2,10,44.0%,50,10.54,100.0%,66.0%,54.0%,52.0%,56.0%,60.0%,56.0%,44.0%,-,-,-
16,Eliminated,20,0,10,3,8,44.0%,50,9.72,98.0%,74.0%,76.0%,54.0%,52.0%,66.0%,58.0%,44.0%,-,-,-
17,Eliminated,15,0,4,3,6,43.1%,51,9.98,94.0%,52.0%,54.0%,52.0%,54.0%,54.0%,50.0%,43.1%,-,-,-
18,Eliminated,5,0,6,2,6,42.9%,49,9.22,96.0%,62.0%,52.0%,52.0%,62.0%,62.0%,56.0%,42.9%,-,-,-
19,Eliminated,0,0,8,3,4,40.0%,50,6.28,80.0%,52.0%,54.0%,54.0%,62.0%,66.0%,54.0%,40.0%,-,-,-
20,Eliminated,0,0,8,2,6,38.0%,50,7.32,84.0%,60.0%,62.0%,64.0%,52.0%,56.0%,54.0%,38.0%,-,-,-
21,Eliminated,5,0,6,3,10,38.0%,50,9.92,98.0%,78.0%,56.0%,64.0%,58.0%,72.0%,60.0%,38.0%,-,-,-
22,Eliminated,15,0,8,2,6,50.0%,50,9.70,98.0%,54.0%,56.0%,54.0%,58.0%,66.0%,50.0%,-,-,-,-
23,Eliminated,5,0,4,2,8,48.0%,50,7.90,96.0%,58.0%,62.0%,56.0%,56.0%,58.0%,48.0%,-,-,-,-
24,Eliminated,10,0,4,1,8,48.0%,50,9.06,94.0%,54.0%,52.0%,64.0%,52.0%,54.0%,48.0%,-,-,-,-
25,Eliminated,20,0,6,3,6,48.0%,50,10.00,96.0%,58.0%,60.0%,60.0%,62.0%,66.0%,48.0%,-,-,-,-
26,Eliminated,20,0,8,2,8,47.1%,51,10.22,100.0%,66.0%,52.0%,52.0%,66.0%,52.0%,47.1%,-,-,-,-
27,Eliminated,10,0,10,2,8,46.0%,50,8.18,100.0%,66.0%,58.0%,60.0%,54.0%,52.0%,46.0%,-,-,-,-
28,Eliminated,15,0,4,1,6,46.0%,50,9.02,94.0%,54.0%,54.0%,54.0%,60.0%,54.0%,46.0%,-,-,-,-
29,Eliminated,0,0,10,3,6,44.0%,50,5.16,86.0%,68.0%,64.0%,62.0%,62.0%,56.0%,44.0%,-,-,-,-
30,Eliminated,0,5,10,3,4,44.0%,50,11.06,82.0%,68.0%,50.0%,62.0%,62.0%,52.0%,44.0%,-,-,-,-
31,Eliminated,10,0,8,2,10,44.0%,50,8.68,94.0%,68.0%,68.0%,54.0%,56.0%,62.0%,44.0%,-,-,-,-
32,Eliminated,10,0,10,3,10,44.0%,50,8.22,94.0%,78.0%,68.0%,58.0%,58.0%,54.0%,44.0%,-,-,-,-
33,Eliminated,20,0,4,1,4,44.0%,50,9.02,94.0%,56.0%,62.0%,52.0%,56.0%,56.0%,44.0%,-,-,-,-
34,Eliminated,20,0,4,1,10,44.0%,50,9.08,94.0%,56.0%,54.0%,64.0%,56.0%,56.0%,44.0%,-,-,-,-
35,Eliminated,5,0,10,3,6,42.0%,50,6.72,94.0%,70.0%,60.0%,60.0%,54.0%,60.0%,42.0%,-,-,-,-
36,Eliminated,20,5,8,3,6,42.0%,50,18.24,96.0%,66.0%,58.0%,52.0%,64.0%,52.0%,42.0%,-,-,-,-
37,Eliminated,20,0,10,2,10,40.8%,49,9.00,94.0%,66.0%,52.0%,62.0%,52.0%,52.0%,40.8%,-,-,-,-
38,Eliminated,20,5,4,3,4,40.0%,50,16.78,88.0%,70.0%,52.0%,54.0%,52.0%,56.0%,40.0%,-,-,-,-
39,Eliminated,15,0,4,1,10,38.0%,50,8.88,98.0%,60.0%,58.0%,70.0%,64.0%,54.0%,38.0%,-,-,-,-
40,Eliminated,0,0,6,3,4,36.0%,50,6.08,86.0%,56.0%,58.0%,54.0%,54.0%,50.0%,36.0%,-,-,-,-
41,Eliminated,5,0,8,3,6,36.0%,50,8.10,100.0%,50.0%,54.0%,54.0%,62.0%,54.0%,36.0%,-,-,-,-
42,Eliminated,5,0,4,2,4,26.0%,50,7.38,88.0%,60.0%,60.0%,62.0%,56.0%,56.0%,26.0%,-,-,-,-
43,Eliminated,5,0,4,3,6,50.0%,50,6.38,90.0%,64.0%,56.0%,56.0%,58.0%,50.0%,-,-,-,-,-
44,Eliminated,5,0,6,2,10,50.0%,50,6.56,98.0%,58.0%,60.0%,60.0%,60.0%,50.0%,-,-,-,-,-
45,Eliminated,20,0,6,2,6,50.0%,50,8.42,98.0%,66.0%,56.0%,62.0%,64.0%,50.0%,-,-,-,-,-
46,Eliminated,20,5,8,2,8,50.0%,50,17.08,80.0%,66.0%,62.0%,58.0%,56.0%,50.0%,-,-,-,-,-
47,Eliminated,5,0,2,2,8,48.0%,50,6.46,88.0%,54.0%,66.0%,52.0%,60.0%,48.0%,-,-,-,-,-
48,Eliminated,5,0,10,3,8,48.0%,50,6.26,90.0%,72.0%,62.0%,52.0%,64.0%,48.0%,-,-,-,-,-
49,Eliminated,10,0,4,2,8,48.0%,50,7.54,96.0%,56.0%,66.0%,62.0%,56.0%,48.0%,-,-,-,-,-
50,Eliminated,10,0,10,3,8,48.0%,50,7.20,96.0%,68.0%,68.0%,58.0%,72.0%,48.0%,-,-,-,-,-
51,Eliminated,10,5,10,3,6,48.0%,50,14.42,92.0%,60.0%,64.0%,52.0%,54.0%,48.0%,-,-,-,-,-
52,Eliminated,20,15,10,3,6,48.0%,50,22.82,88.0%,58.0%,62.0%,60.0%,61.2%,48.0%,-,-,-,-,-
53,Eliminated,10,0,6,3,8,46.0%,50,7.64,94.0%,70.0%,50.0%,56.0%,58.0%,46.0%,-,-,-,-,-
54,Eliminated,15,0,4,2,6,46.0%,50,7.90,96.0%,58.0%,62.0%,52.0%,52.0%,46.0%,-,-,-,-,-
55,Eliminated,15,0,8,3,10,46.0%,50,7.50,98.0%,66.0%,52.0%,60.0%,58.0%,46.0%,-,-,-,-,-
56,Eliminated,10,5,8,2,8,44.0%,50,17.34,96.0%,56.0%,62.0%,54.0%,54.0%,44.0%,-,-,-,-,-
