Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
1,Active,15,0,8,2,8,0.0%,0,96.0%,57.0%,58.0%,59.0%,60.5%,59.5%,52.5%,49.0%,50.0%,52.5%,52.0%
2,Eliminated,10,0,10,3,6,48.0%,200,95.5%,68.5%,61.5%,55.0%,58.5%,55.5%,53.5%,51.5%,59.3%,54.0%,48.0%
3,Eliminated,15,0,6,3,6,52.0%,200,98.0%,63.5%,59.5%,59.0%,62.0%,62.5%,56.0%,57.5%,49.0%,52.0%,-
4,Eliminated,10,0,8,2,8,50.5%,200,98.0%,69.5%,58.5%,56.0%,60.0%,51.5%,52.5%,56.5%,57.0%,50.5%,-
5,Eliminated,10,0,8,2,6,41.0%,200,95.5%,62.5%,52.5%,60.5%,65.0%,56.5%,51.5%,51.0%,51.5%,41.0%,-
6,Eliminated,15,0,8,2,6,47.8%,201,97.0%,62.5%,55.0%,55.5%,61.0%,63.0%,52.0%,57.5%,47.8%,-,-
7,Eliminated,15,0,8,3,6,47.0%,200,90.5%,69.0%,59.0%,58.5%,59.0%,58.5%,54.0%,59.0%,47.0%,-,-
8,Eliminated,20,0,6,3,6,47.0%,200,100.0%,54.5%,56.5%,55.5%,58.5%,59.0%,55.5%,50.0%,47.0%,-,-
9,Eliminated,15,0,8,3,10,46.0%,200,98.5%,66.0%,63.0%,56.0%,53.0%,58.0%,50.0%,52.0%,46.0%,-,-
10,Eliminated,10,0,8,2,10,45.5%,200,97.5%,56.5%,50.5%,54.5%,54.5%,51.0%,52.0%,54.5%,45.5%,-,-
11,Eliminated,10,0,10,2,6,47.5%,200,96.0%,63.5%,54.5%,56.0%,53.5%,53.5%,59.0%,47.5%,-,-,-
12,Eliminated,20,0,6,2,6,47.5%,200,95.0%,68.5%,55.0%,59.5%,53.5%,52.5%,56.5%,47.5%,-,-,-
13,Eliminated,10,0,10,2,8,47.0%,200,97.0%,62.0%,61.5%,53.0%,54.5%,59.0%,54.5%,47.0%,-,-,-
14,Eliminated,15,0,6,2,8,47.0%,200,97.5%,61.5%,61.5%,58.5%,59.0%,51.0%,55.5%,47.0%,-,-,-
15,Eliminated,15,0,8,3,8,47.0%,200,97.5%,67.5%,60.5%,52.5%,62.0%,53.5%,51.0%,47.0%,-,-,-
16,Eliminated,20,0,6,1,6,47.0%,200,97.0%,57.0%,58.0%,56.5%,59.0%,55.0%,56.0%,47.0%,-,-,-
17,Eliminated,10,0,6,2,6,46.0%,200,97.5%,61.5%,59.0%,59.5%,57.5%,60.0%,55.0%,46.0%,-,-,-
18,Eliminated,10,0,6,3,8,46.0%,200,96.0%,60.5%,56.5%,58.0%,62.0%,50.5%,53.5%,46.0%,-,-,-
19,Eliminated,15,0,10,3,8,46.0%,200,97.5%,71.5%,62.5%,59.5%,52.0%,50.5%,50.5%,46.0%,-,-,-
20,Eliminated,20,0,10,3,6,46.0%,200,97.0%,69.0%,62.5%,61.0%,62.5%,53.0%,56.5%,46.0%,-,-,-
21,Eliminated,20,0,8,2,8,44.5%,200,99.5%,62.5%,57.5%,54.0%,60.0%,54.5%,51.0%,44.5%,-,-,-
22,Eliminated,20,0,8,2,10,50.0%,200,96.0%,64.0%,57.5%,54.5%,54.5%,54.5%,50.0%,-,-,-,-
23,Eliminated,10,0,6,2,10,49.5%,200,97.0%,61.5%,55.0%,60.0%,58.5%,54.5%,49.5%,-,-,-,-
24,Eliminated,10,0,8,3,8,49.5%,200,95.0%,68.0%,59.5%,60.0%,51.5%,55.0%,49.5%,-,-,-,-
25,Eliminated,5,0,6,3,6,49.0%,200,95.0%,61.5%,56.5%,55.5%,60.0%,52.0%,49.0%,-,-,-,-
26,Eliminated,20,0,10,2,6,49.0%,200,97.5%,55.5%,60.0%,57.5%,57.5%,57.0%,49.0%,-,-,-,-
27,Eliminated,10,0,6,3,10,48.5%,200,97.0%,55.0%,50.5%,54.0%,62.0%,56.0%,48.5%,-,-,-,-
28,Eliminated,15,0,6,1,8,48.5%,200,98.0%,58.5%,57.5%,51.0%,51.5%,53.0%,48.5%,-,-,-,-
29,Eliminated,20,0,8,2,6,48.0%,200,96.0%,71.5%,58.5%,55.0%,55.0%,65.0%,48.0%,-,-,-,-
30,Eliminated,20,0,10,3,8,47.5%,200,95.5%,71.0%,69.0%,56.0%,57.5%,56.5%,47.5%,-,-,-,-
31,Eliminated,10,0,6,2,8,47.0%,200,97.5%,58.0%,52.5%,58.0%,59.0%,57.5%,47.0%,-,-,-,-
32,Eliminated,15,0,6,3,10,47.0%,200,98.5%,66.5%,50.5%,51.0%,60.0%,51.0%,47.0%,-,-,-,-
33,Eliminated,5,0,10,2,8,46.5%,200,94.5%,59.5%,62.0%,57.0%,57.5%,51.0%,46.5%,-,-,-,-
34,Eliminated,15,0,10,3,6,46.5%,200,97.5%,69.5%,59.5%,57.0%,53.5%,61.0%,46.5%,-,-,-,-
35,Eliminated,20,0,8,3,8,46.3%,201,94.5%,71.5%,54.5%,51.0%,58.0%,59.0%,46.3%,-,-,-,-
36,Eliminated,20,0,6,3,8,45.5%,200,95.0%,60.0%,60.5%,54.5%,58.0%,54.0%,45.5%,-,-,-,-
37,Eliminated,20,0,8,3,10,45.2%,199,97.5%,63.0%,51.5%,50.5%,55.5%,53.5%,45.2%,-,-,-,-
38,Eliminated,5,0,8,3,6,43.5%,200,92.0%,64.5%,51.0%,56.5%,63.0%,52.0%,43.5%,-,-,-,-
39,Eliminated,5,0,8,2,8,42.0%,200,97.5%,58.5%,53.0%,56.0%,54.5%,55.5%,42.0%,-,-,-,-
40,Eliminated,5,0,6,3,8,41.0%,200,95.0%,69.5%,54.5%,55.5%,51.0%,55.0%,41.0%,-,-,-,-
41,Eliminated,5,0,10,2,6,41.0%,200,90.5%,61.5%,52.0%,55.5%,53.0%,51.5%,41.0%,-,-,-,-
42,Eliminated,5,0,10,3,6,40.5%,200,93.0%,66.0%,58.5%,58.5%,55.5%,55.5%,40.5%,-,-,-,-
43,Eliminated,10,0,10,3,8,50.0%,200,94.5%,69.0%,65.5%,60.0%,51.0%,50.0%,-,-,-,-,-
44,Eliminated,15,0,10,2,8,49.5%,200,97.5%,66.5%,63.5%,51.0%,51.5%,49.5%,-,-,-,-,-
45,Eliminated,15,5,8,3,6,49.5%,200,90.0%,55.5%,59.5%,60.0%,52.5%,49.5%,-,-,-,-,-
46,Eliminated,20,0,6,1,10,49.5%,200,96.5%,53.5%,54.0%,60.0%,56.5%,49.5%,-,-,-,-,-
47,Eliminated,20,0,6,2,10,49.5%,200,97.5%,61.5%,53.5%,56.5%,52.5%,49.5%,-,-,-,-,-
48,Eliminated,10,5,10,2,6,49.0%,200,92.0%,53.0%,55.5%,58.0%,56.5%,49.0%,-,-,-,-,-
49,Eliminated,15,0,6,1,10,49.0%,200,94.0%,55.0%,51.0%,62.0%,52.5%,49.0%,-,-,-,-,-
50,Eliminated,15,5,10,3,6,49.0%,200,83.0%,64.0%,63.0%,57.5%,55.0%,49.0%,-,-,-,-,-
51,Eliminated,15,0,10,2,6,48.0%,200,96.5%,62.5%,67.5%,60.5%,55.5%,48.0%,-,-,-,-,-
52,Eliminated,20,0,6,3,10,48.0%,200,95.5%,55.5%,57.0%,60.0%,54.5%,48.0%,-,-,-,-,-
53,Eliminated,5,0,6,2,6,47.5%,200,95.5%,63.0%,58.0%,60.0%,59.0%,47.5%,-,-,-,-,-
54,Eliminated,20,0,4,2,4,47.3%,201,92.0%,60.0%,54.5%,52.5%,54.0%,47.3%,-,-,-,-,-
55,Eliminated,0,0,6,2,6,47.0%,200,91.5%,60.5%,58.5%,54.0%,55.0%,47.0%,-,-,-,-,-
56,Eliminated,10,0,8,3,10,47.0%,200,95.0%,66.5%,51.5%,59.0%,58.5%,47.0%,-,-,-,-,-
57,Eliminated,5,0,6,2,10,46.5%,200,94.5%,71.0%,60.0%,57.5%,55.5%,46.5%,-,-,-,-,-
58,Eliminated,10,0,4,2,10,46.5%,200,92.5%,59.0%,56.5%,52.5%,52.0%,46.5%,-,-,-,-,-
59,Eliminated,5,0,8,3,8,46.0%,200,95.0%,54.5%,56.0%,56.0%,56.0%,46.0%,-,-,-,-,-
60,Eliminated,20,0,4,2,10,46.0%,200,96.0%,62.0%,51.0%,57.0%,52.5%,46.0%,-,-,-,-,-
61,Eliminated,15,0,4,2,4,45.5%,200,94.0%,54.5%,52.0%,55.0%,54.0%,45.5%,-,-,-,-,-
62,Eliminated,20,0,4,1,6,45.5%,200,94.5%,55.0%,58.5%,53.5%,51.5%,45.5%,-,-,-,-,-
63,Eliminated,20,5,10,3,6,45.2%,199,87.0%,62.5%,62.5%,56.0%,52.5%,45.2%,-,-,-,-,-
64,Eliminated,15,5,10,2,6,45.0%,200,86.5%,58.5%,53.0%,55.5%,54.0%,45.0%,-,-,-,-,-
65,Eliminated,15,0,10,2,10,44.5%,200,95.0%,55.5%,60.5%,51.5%,53.0%,44.5%,-,-,-,-,-
66,Eliminated,5,0,6,2,8,44.0%,200,93.0%,68.0%,55.0%,55.0%,60.5%,44.0%,-,-,-,-,-
67,Eliminated,10,0,4,1,8,44.0%,200,96.0%,58.5%,55.0%,53.5%,56.0%,44.0%,-,-,-,-,-
68,Eliminated,0,0,10,3,6,43.5%,200,85.0%,67.0%,52.0%,53.0%,53.0%,43.5%,-,-,-,-,-
69,Eliminated,15,0,4,1,8,43.5%,200,94.5%,56.5%,57.5%,51.5%,52.5%,43.5%,-,-,-,-,-
70,Eliminated,15,5,6,2,8,43.5%,200,90.5%,55.5%,50.5%,52.0%,52.0%,43.5%,-,-,-,-,-
71,Eliminated,20,10,8,3,6,43.5%,200,85.5%,59.0%,54.5%,57.5%,52.5%,43.5%,-,-,-,-,-
72,Eliminated,0,0,8,3,6,43.0%,200,91.5%,65.5%,57.0%,54.5%,53.5%,43.0%,-,-,-,-,-
73,Eliminated,15,5,6,2,6,43.0%,200,88.0%,66.5%,55.5%,52.5%,54.0%,43.0%,-,-,-,-,-
74,Eliminated,20,5,6,3,6,43.0%,200,92.5%,59.0%,54.0%,51.5%,52.8%,43.0%,-,-,-,-,-
75,Eliminated,10,5,8,3,6,42.5%,200,89.0%,55.5%,59.5%,54.5%,53.5%,42.5%,-,-,-,-,-
76,Eliminated,0,0,6,3,4,40.5%,200,89.0%,64.5%,54.0%,51.5%,53.0%,40.5%,-,-,-,-,-
77,Eliminated,10,5,6,3,6,40.0%,200,91.0%,63.5%,59.0%,52.5%,55.0%,40.0%,-,-,-,-,-
78,Eliminated,10,5,8,2,8,40.0%,200,87.0%,55.5%,56.0%,50.5%,51.5%,40.0%,-,-,-,-,-
79,Eliminated,5,0,4,2,10,39.5%,200,92.5%,59.5%,53.0%,56.0%,58.0%,39.5%,-,-,-,-,-
80,Eliminated,15,5,10,3,4,39.0%,200,88.0%,59.5%,60.5%,55.0%,55.5%,39.0%,-,-,-,-,-
81,Eliminated,5,5,8,3,8,38.0%,200,93.0%,54.5%,56.5%,54.0%,57.0%,38.0%,-,-,-,-,-
82,Eliminated,20,5,8,3,4,38.0%,200,83.5%,58.0%,53.5%,52.0%,55.0%,38.0%,-,-,-,-,-
83,Eliminated,15,0,4,2,8,37.5%,200,93.0%,58.5%,52.0%,55.5%,51.5%,37.5%,-,-,-,-,-
84,Eliminated,5,0,4,3,10,35.5%,200,92.5%,65.5%,55.5%,60.5%,54.0%,35.5%,-,-,-,-,-
85,Eliminated,20,0,10,2,8,51.0%,200,96.5%,66.5%,58.0%,57.5%,51.0%,-,-,-,-,-,-
86,Eliminated,20,5,8,3,6,51.0%,200,90.0%,58.5%,54.0%,51.5%,51.0%,-,-,-,-,-,-
87,Eliminated,20,10,8,2,6,51.0%,200,88.5%,56.0%,59.0%,51.5%,51.0%,-,-,-,-,-,-
88,Eliminated,15,5,6,2,4,50.5%,200,86.5%,61.0%,55.0%,56.0%,50.5%,-,-,-,-,-,-
89,Eliminated,15,5,8,2,6,50.5%,200,88.0%,60.5%,59.0%,55.5%,50.5%,-,-,-,-,-,-
