# Tournament Config: startingPlayers=3, gamesPerPhase=100
# Fallbacks: {"2":{"file":"tournament_j3zvExqh9bhYFcfuzihx_older.csv","topX":5}}
Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
1,Active,0,0,6,1,4,0.0%,0,0.00,82.0%,38.0%,37.0%,41.0%,41.0%,41.6%,40.0%,43.1%,36.3%,41.0%,58.0%
2,Eliminated,5,5,8,3,8,21.0%,200,13.23,89.0%,39.0%,36.0%,40.0%,39.0%,36.0%,37.0%,34.3%,37.6%,36.6%,21.0%
3,Eliminated,0,0,6,2,6,35.0%,103,3.37,86.0%,35.0%,36.6%,37.0%,34.7%,37.0%,44.0%,45.5%,37.1%,35.0%,-
4,Eliminated,0,0,8,2,6,28.0%,100,3.37,92.0%,40.0%,36.0%,39.0%,44.6%,34.7%,38.6%,40.0%,38.0%,28.0%,-
5,Eliminated,10,5,8,1,6,26.2%,103,30.59,83.0%,55.0%,44.0%,42.0%,37.0%,36.0%,36.0%,33.7%,38.0%,26.2%,-
6,Eliminated,0,0,8,1,4,34.0%,100,3.95,81.0%,46.0%,41.0%,39.0%,44.6%,42.0%,41.0%,38.0%,34.0%,-,-
7,Eliminated,5,10,8,2,6,32.0%,100,28.55,80.0%,40.0%,39.0%,37.0%,35.0%,34.7%,39.0%,34.0%,32.0%,-,-
8,Eliminated,0,0,6,1,6,28.7%,101,4.03,88.0%,46.0%,43.6%,41.6%,48.5%,50.0%,51.0%,35.6%,28.7%,-,-
9,Eliminated,0,5,8,1,6,28.0%,100,21.23,91.0%,35.0%,35.0%,35.0%,38.0%,35.0%,46.0%,42.2%,28.0%,-,-
10,Eliminated,0,0,4,1,4,23.5%,102,3.81,86.0%,39.0%,37.6%,43.0%,36.6%,44.0%,39.0%,34.0%,23.5%,-,-
11,Eliminated,5,5,6,1,6,33.0%,100,24.45,87.0%,48.0%,43.0%,44.0%,34.0%,43.6%,39.6%,33.0%,-,-,-
12,Eliminated,10,10,8,1,6,32.0%,100,31.18,80.0%,49.0%,39.0%,38.0%,40.0%,42.0%,36.0%,32.0%,-,-,-
13,Eliminated,5,5,8,3,6,30.0%,100,18.81,83.0%,40.6%,38.0%,42.0%,36.0%,34.0%,37.0%,30.0%,-,-,-
14,Eliminated,5,10,8,3,8,30.0%,100,23.91,81.0%,35.6%,37.0%,38.0%,33.0%,39.0%,36.0%,30.0%,-,-,-
15,Eliminated,0,5,8,1,4,29.0%,100,19.45,85.0%,47.0%,38.0%,34.0%,44.0%,35.6%,33.0%,29.0%,-,-,-
16,Eliminated,15,10,6,1,6,29.0%,100,32.30,92.0%,38.0%,37.0%,37.0%,33.0%,42.0%,35.0%,29.0%,-,-,-
17,Eliminated,10,5,6,1,10,28.7%,101,25.89,87.0%,51.0%,47.0%,36.0%,45.0%,33.0%,34.0%,28.7%,-,-,-
18,Eliminated,0,15,8,1,4,28.4%,102,29.56,76.0%,36.0%,37.0%,37.0%,36.0%,34.7%,35.0%,28.4%,-,-,-
19,Eliminated,5,5,6,1,10,28.0%,100,24.60,87.0%,38.6%,46.0%,34.0%,43.0%,34.0%,39.6%,28.0%,-,-,-
20,Eliminated,0,10,8,2,8,27.0%,100,24.90,83.0%,36.0%,35.0%,34.0%,34.0%,34.7%,33.0%,27.0%,-,-,-
21,Eliminated,0,15,6,3,10,24.0%,100,23.68,83.0%,42.0%,40.0%,35.0%,34.0%,40.0%,35.0%,24.0%,-,-,-
22,Eliminated,5,5,8,1,6,33.0%,100,20.62,89.0%,46.0%,36.0%,42.0%,41.0%,33.0%,33.0%,-,-,-,-
23,Eliminated,10,15,8,2,10,33.0%,100,25.41,92.0%,43.0%,43.0%,35.0%,34.0%,39.0%,33.0%,-,-,-,-
24,Eliminated,15,10,6,1,4,32.7%,101,24.92,74.0%,38.0%,35.0%,37.0%,37.0%,36.0%,32.7%,-,-,-,-
25,Eliminated,0,0,6,1,10,32.0%,100,3.20,90.0%,41.0%,34.0%,39.0%,35.6%,44.6%,32.0%,-,-,-,-
26,Eliminated,0,0,8,1,10,32.0%,100,3.47,88.0%,48.0%,37.0%,36.0%,39.6%,40.6%,32.0%,-,-,-,-
27,Eliminated,10,5,8,2,8,32.0%,100,18.83,89.0%,43.0%,43.0%,34.0%,34.0%,35.0%,32.0%,-,-,-,-
28,Eliminated,0,15,8,2,6,31.0%,100,23.94,86.0%,42.0%,46.0%,34.0%,41.0%,34.7%,31.0%,-,-,-,-
29,Eliminated,0,20,8,3,8,31.0%,100,21.09,83.0%,47.0%,41.0%,37.0%,35.0%,35.0%,31.0%,-,-,-,-
30,Eliminated,5,5,8,2,10,30.0%,100,17.79,87.0%,40.0%,40.0%,42.0%,34.0%,42.0%,30.0%,-,-,-,-
31,Eliminated,15,10,8,1,6,30.0%,100,27.82,88.0%,48.0%,39.0%,46.0%,40.0%,39.0%,30.0%,-,-,-,-
32,Eliminated,10,15,8,2,8,29.7%,101,25.06,89.0%,43.0%,38.0%,40.0%,37.0%,37.0%,29.7%,-,-,-,-
33,Eliminated,15,5,8,1,10,29.0%,100,24.73,85.0%,45.0%,39.0%,34.0%,34.0%,34.0%,29.0%,-,-,-,-
34,Eliminated,15,15,8,2,8,29.0%,100,25.39,85.0%,37.0%,35.0%,36.0%,35.0%,40.0%,29.0%,-,-,-,-
