# Tournament Config: startingPlayers=3, gamesPerPhase=100
# Fallbacks: {"2":{"file":"tournament_j3zvExqh9bhYFcfuzihx_older.csv","topX":5}}
Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
1,Active,0,5,6,2,6,0.0%,0,0.00,87.0%,47.0%,44.0%,38.0%,36.0%,37.0%,44.0%,45.0%,32.0%,40.2%,37.0%
2,Eliminated,0,0,6,3,6,26.0%,100,0.00,85.0%,45.0%,38.0%,40.0%,37.0%,48.5%,37.0%,45.0%,41.0%,37.0%,26.0%
3,Eliminated,0,0,6,1,4,33.0%,103,0.00,80.0%,42.0%,43.0%,35.0%,43.0%,42.0%,38.0%,37.9%,34.3%,33.0%,-
4,Eliminated,5,5,6,1,4,32.7%,101,0.00,88.0%,40.0%,36.0%,40.0%,42.0%,34.0%,39.0%,33.7%,40.8%,32.7%,-
5,Eliminated,0,0,4,1,6,23.8%,101,0.00,85.0%,36.0%,40.0%,42.0%,36.0%,36.0%,35.6%,34.7%,34.0%,23.8%,-
6,Eliminated,0,5,6,3,4,31.0%,100,0.00,74.0%,41.0%,45.0%,38.0%,40.0%,34.0%,36.0%,36.3%,31.0%,-,-
7,Eliminated,0,0,8,1,4,30.8%,104,0.00,83.0%,43.0%,45.0%,46.0%,51.0%,44.0%,38.0%,38.0%,30.8%,-,-
8,Eliminated,0,10,8,2,4,30.4%,102,0.00,77.0%,46.0%,41.0%,42.0%,34.0%,43.0%,37.0%,33.0%,30.4%,-,-
9,Eliminated,0,0,8,2,8,30.0%,100,0.00,91.0%,37.6%,40.0%,48.0%,34.0%,42.0%,41.6%,35.0%,30.0%,-,-
10,Eliminated,0,5,8,1,6,29.0%,100,0.00,92.0%,39.0%,40.0%,41.0%,45.0%,36.0%,37.0%,33.0%,29.0%,-,-
11,Eliminated,10,10,6,1,4,32.0%,103,0.00,71.0%,39.0%,45.0%,34.0%,41.0%,34.7%,36.0%,32.0%,-,-,-
12,Eliminated,0,0,4,1,4,32.0%,100,0.00,78.0%,39.0%,43.0%,39.0%,41.0%,36.0%,42.6%,32.0%,-,-,-
13,Eliminated,0,5,4,2,4,32.0%,100,0.00,75.0%,40.0%,37.0%,35.0%,39.0%,38.0%,38.0%,32.0%,-,-,-
14,Eliminated,5,5,6,1,6,32.0%,100,0.00,85.0%,45.0%,45.0%,39.0%,42.0%,45.0%,35.0%,32.0%,-,-,-
15,Eliminated,0,5,8,3,10,31.0%,100,0.00,87.0%,36.0%,45.0%,44.0%,37.0%,33.3%,35.0%,31.0%,-,-,-
16,Eliminated,0,0,6,1,6,30.7%,101,0.00,87.0%,42.0%,40.0%,46.0%,34.0%,41.0%,44.0%,30.7%,-,-,-
17,Eliminated,0,10,6,2,6,30.0%,100,0.00,82.0%,49.0%,35.0%,44.0%,36.0%,36.6%,40.0%,30.0%,-,-,-
18,Eliminated,0,10,8,3,8,30.0%,100,0.00,79.0%,45.0%,34.0%,45.0%,43.0%,39.0%,36.0%,30.0%,-,-,-
19,Eliminated,0,15,8,2,4,28.0%,100,0.00,72.0%,39.0%,47.0%,35.0%,34.0%,37.0%,38.0%,28.0%,-,-,-
20,Eliminated,0,5,8,1,4,26.0%,100,0.00,85.0%,34.0%,46.0%,45.0%,43.0%,34.0%,36.0%,26.0%,-,-,-
